username, promedio, total, mensajes
username,NaN, 0, 0
,NaN, 0, 0
SERVER,NaN, 0, 0
antonio 1,107, 1, 107
antonio 3,246, 1, 246
antonio 2,253, 1, 253
antonio 4,154, 1, 154
antonio 6,226, 1, 226
antonio 5,153, 1, 153
antonio 7,281, 1, 281
antonio 15,125, 1, 125
antonio 11,261, 1, 261
antonio 8,242, 1, 242
antonio 16,177, 1, 177
antonio 12,176, 1, 176
antonio 19,242, 1, 242
antonio 13,151, 1, 151
antonio 17,309, 1, 309
TheDG 3,231, 1, 231
antonio 23,282, 1, 282
antonio 14,393, 1, 393
antonio 24,292, 1, 292
TheDG 1,281, 1, 281
antonio 25,357, 1, 357
antonio 9,362, 1, 362
baltazar 2,347, 1, 347
antonio 18,431, 1, 431
antonio 20,445, 1, 445
antonio 22,395, 1, 395
antonio 10,513, 1, 513
antonio 21,525, 1, 525
baltazar 1,491, 1, 491
baltazar 3,506, 1, 506
TheDG 9,380, 1, 380
TheDG 2,381, 1, 381
TheDG 7,492, 1, 492
TheDG 4,401, 1, 401
baltazar 5,525, 1, 525
TheDG 5,427, 1, 427
TheDG 6,413, 1, 413
TheDG 10,399, 1, 399
TheDG 8,797, 1, 797
baltazar 10,842, 1, 842
baltazar 6,837, 1, 837
baltazar 18,755, 1, 755
baltazar 7,746, 1, 746
baltazar 19,810, 1, 810
baltazar 13,718, 1, 718
baltazar 11,778, 1, 778
baltazar 4,775, 1, 775
baltazar 16,1264, 1, 1264
baltazar 20,1315, 1, 1315
baltazar 9,1380, 1, 1380
baltazar 17,1244, 1, 1244
baltazar 15,1234, 1, 1234
TheDG 11,1118, 1, 1118
baltazar 24,1233, 1, 1233
baltazar 8,1266, 1, 1266
baltazar 23,1253, 1, 1253
baltazar 21,1251, 1, 1251
TheDG 15,989, 1, 989
TheDG 13,974, 1, 974
TheDG 17,976, 1, 976
TheDG 14,954, 1, 954
TheDG 24,930, 1, 930
TheDG 16,925, 1, 925
TheDG 21,924, 1, 924
TheDG 22,921, 1, 921
TheDG 23,906, 1, 906
TheDG 19,905, 1, 905
TheDG 25,903, 1, 903
TheDG 12,902, 1, 902
TheDG 20,902, 1, 902
TheDG 18,896, 1, 896
baltazar 25,1110, 1, 1110
javier 4,1110, 1, 1110
javier 3,789, 1, 789
javier 2,255, 1, 255
javier 11,291, 1, 291
javier 1,322, 1, 322
javier 5,339, 1, 339
javier 6,282, 1, 282
javier 16,384, 1, 384
javier 23,682, 1, 682
javier 8,693, 1, 693
javier 15,724, 1, 724
javier 20,777, 1, 777
javier 12,804, 1, 804
javier 17,899, 1, 899
javier 18,874, 1, 874
javier 21,886, 1, 886
javier 10,838, 1, 838
javier 13,836, 1, 836
javier 25,969, 1, 969
javier 9,992, 1, 992
javier 7,1030, 1, 1030
javier 19,878, 1, 878
javier 24,1072, 1, 1072
javier 14,906, 1, 906
baltazar 14,995, 1, 995
baltazar 12,1160, 1, 1160
baltazar 22,5209, 1, 5209
javier 22,5174, 1, 5174
