username, promedio, total, mensajes
username,NaN, 0, 0
,NaN, 0, 0
SERVER,NaN, 0, 0
antonio 1,654.882, 500, 327441
antonio 4,1686.954, 500, 843477
antonio 3,2466.086, 500, 1233043
antonio 2,3335.85, 500, 1667925
antonio 8,5970.538, 500, 2985269
antonio 5,6752.968, 500, 3376484
antonio 10,7737.192, 500, 3868596
antonio 9,8859.982, 500, 4429991
antonio 6,9992.432, 500, 4996216
antonio 7,11621.404, 500, 5810702
