username, time_to_deliver

SERVER,NaN

antonio 1,735

antonio 1,735

antonio 1,735

antonio 1,735

antonio 1,735

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,736

antonio 1,737

antonio 1,737

antonio 1,737

antonio 1,737

antonio 1,738

antonio 1,738

antonio 1,737

antonio 1,737

antonio 1,737

antonio 1,737

antonio 1,738

antonio 1,738

antonio 1,739

antonio 1,739

antonio 1,741

antonio 1,742

antonio 1,742

antonio 1,745

antonio 1,746

antonio 1,746

antonio 1,747

antonio 1,747

antonio 1,748

antonio 1,748

antonio 1,748

antonio 1,749

antonio 1,749

antonio 1,749

antonio 1,749

antonio 1,749

antonio 1,749

antonio 1,749

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,750

antonio 1,751

antonio 1,751

antonio 1,751

antonio 1,751

antonio 1,751

antonio 1,751

antonio 1,751
antonio 1,751
antonio 1,751
antonio 1,752
antonio 1,751
antonio 1,751
antonio 1,751

antonio 1,751

antonio 1,751

antonio 1,752

antonio 1,752

antonio 1,752

antonio 1,752

antonio 1,752

antonio 1,752

antonio 1,753

antonio 1,753

antonio 1,753

antonio 1,753

antonio 1,753

antonio 1,753

antonio 1,754

antonio 1,754

antonio 1,754

antonio 1,754

antonio 1,754

antonio 1,754
antonio 1,754

antonio 1,755

antonio 1,755

antonio 1,755

antonio 1,755

antonio 1,756

antonio 1,756

antonio 1,758

antonio 1,759

antonio 1,759

antonio 1,760

antonio 1,760

antonio 1,760

antonio 1,760

antonio 1,761

antonio 1,761

antonio 1,761

antonio 1,761

antonio 1,762

antonio 1,762

antonio 1,763

antonio 1,763

antonio 1,764

antonio 1,764

antonio 1,766

antonio 1,767

antonio 1,768

antonio 1,768

antonio 1,779

antonio 1,852
antonio 1,853
antonio 1,855
antonio 1,856
antonio 1,856
antonio 1,857
antonio 1,857
antonio 1,859
antonio 1,859
antonio 1,859
antonio 1,860
antonio 1,860
antonio 1,860
antonio 1,860
antonio 1,860
antonio 1,861
antonio 1,861
antonio 1,861
antonio 1,862
